County,State,StateSpace,Geography,Stub,Estimate,Stub2,Stub3
Charleston County,South Carolina, South Carolina,"Charleston County, South Carolina",. 65 years or over:,"43,379", 65 years or over,65 years or over
Charleston County,South Carolina, South Carolina,"Charleston County, South Carolina",. . With health insurance coverage,"43,004",  With health insurance coverage,With health insurance coverage
Charleston County,South Carolina, South Carolina,"Charleston County, South Carolina",. . No health insurance coverage,375,  No health insurance coverage,No health insurance coverage
Darlington County,South Carolina, South Carolina,"Darlington County, South Carolina",Total:,"65,209",Total,Total
Darlington County,South Carolina, South Carolina,"Darlington County, South Carolina",. Under 18 years:,"16,215", Under 18 years,Under 18 years
Darlington County,South Carolina, South Carolina,"Darlington County, South Carolina",. . With health insurance coverage,"14,806",  With health insurance coverage,With health insurance coverage
Darlington County,South Carolina, South Carolina,"Darlington County, South Carolina",. . No health insurance coverage,"1,409",  No health insurance coverage,No health insurance coverage
Darlington County,South Carolina, South Carolina,"Darlington County, South Carolina",. 18 to 64 years:,"40,618", 18 to 64 years,18 to 64 years
Darlington County,South Carolina, South Carolina,"Darlington County, South Carolina",. . With health insurance coverage,"30,927",  With health insurance coverage,With health insurance coverage
Darlington County,South Carolina, South Carolina,"Darlington County, South Carolina",. . No health insurance coverage,"9,691",  No health insurance coverage,No health insurance coverage
Darlington County,South Carolina, South Carolina,"Darlington County, South Carolina",. 65 years or over:,"8,376", 65 years or over,65 years or over
Darlington County,South Carolina, South Carolina,"Darlington County, South Carolina",. . With health insurance coverage,"8,376",  With health insurance coverage,With health insurance coverage
Darlington County,South Carolina, South Carolina,"Darlington County, South Carolina",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Dorchester County,South Carolina, South Carolina,"Dorchester County, South Carolina",Total:,"123,905",Total,Total
Dorchester County,South Carolina, South Carolina,"Dorchester County, South Carolina",. Under 18 years:,"33,387", Under 18 years,Under 18 years
Dorchester County,South Carolina, South Carolina,"Dorchester County, South Carolina",. . With health insurance coverage,"29,620",  With health insurance coverage,With health insurance coverage
Dorchester County,South Carolina, South Carolina,"Dorchester County, South Carolina",. . No health insurance coverage,"3,767",  No health insurance coverage,No health insurance coverage
Dorchester County,South Carolina, South Carolina,"Dorchester County, South Carolina",. 18 to 64 years:,"78,573", 18 to 64 years,18 to 64 years
Dorchester County,South Carolina, South Carolina,"Dorchester County, South Carolina",. . With health insurance coverage,"62,469",  With health insurance coverage,With health insurance coverage
Dorchester County,South Carolina, South Carolina,"Dorchester County, South Carolina",. . No health insurance coverage,"16,104",  No health insurance coverage,No health insurance coverage
Dorchester County,South Carolina, South Carolina,"Dorchester County, South Carolina",. 65 years or over:,"11,945", 65 years or over,65 years or over
Dorchester County,South Carolina, South Carolina,"Dorchester County, South Carolina",. . With health insurance coverage,"11,927",  With health insurance coverage,With health insurance coverage
Dorchester County,South Carolina, South Carolina,"Dorchester County, South Carolina",. . No health insurance coverage,18,  No health insurance coverage,No health insurance coverage
Florence County,South Carolina, South Carolina,"Florence County, South Carolina",Total:,"130,084",Total,Total
Florence County,South Carolina, South Carolina,"Florence County, South Carolina",. Under 18 years:,"31,777", Under 18 years,Under 18 years
Florence County,South Carolina, South Carolina,"Florence County, South Carolina",. . With health insurance coverage,"28,680",  With health insurance coverage,With health insurance coverage
Florence County,South Carolina, South Carolina,"Florence County, South Carolina",. . No health insurance coverage,"3,097",  No health insurance coverage,No health insurance coverage
Florence County,South Carolina, South Carolina,"Florence County, South Carolina",. 18 to 64 years:,"82,429", 18 to 64 years,18 to 64 years
Florence County,South Carolina, South Carolina,"Florence County, South Carolina",. . With health insurance coverage,"63,127",  With health insurance coverage,With health insurance coverage
Florence County,South Carolina, South Carolina,"Florence County, South Carolina",. . No health insurance coverage,"19,302",  No health insurance coverage,No health insurance coverage
Florence County,South Carolina, South Carolina,"Florence County, South Carolina",. 65 years or over:,"15,878", 65 years or over,65 years or over
Florence County,South Carolina, South Carolina,"Florence County, South Carolina",. . With health insurance coverage,"15,750",  With health insurance coverage,With health insurance coverage
Florence County,South Carolina, South Carolina,"Florence County, South Carolina",. . No health insurance coverage,128,  No health insurance coverage,No health insurance coverage
Greenville County,South Carolina, South Carolina,"Greenville County, South Carolina",Total:,"431,908",Total,Total
Greenville County,South Carolina, South Carolina,"Greenville County, South Carolina",. Under 18 years:,"107,134", Under 18 years,Under 18 years
Greenville County,South Carolina, South Carolina,"Greenville County, South Carolina",. . With health insurance coverage,"92,390",  With health insurance coverage,With health insurance coverage
Greenville County,South Carolina, South Carolina,"Greenville County, South Carolina",. . No health insurance coverage,"14,744",  No health insurance coverage,No health insurance coverage
Greenville County,South Carolina, South Carolina,"Greenville County, South Carolina",. 18 to 64 years:,"274,452", 18 to 64 years,18 to 64 years
Greenville County,South Carolina, South Carolina,"Greenville County, South Carolina",. . With health insurance coverage,"216,529",  With health insurance coverage,With health insurance coverage
Greenville County,South Carolina, South Carolina,"Greenville County, South Carolina",. . No health insurance coverage,"57,923",  No health insurance coverage,No health insurance coverage
Greenville County,South Carolina, South Carolina,"Greenville County, South Carolina",. 65 years or over:,"50,322", 65 years or over,65 years or over
Greenville County,South Carolina, South Carolina,"Greenville County, South Carolina",. . With health insurance coverage,"50,027",  With health insurance coverage,With health insurance coverage
Greenville County,South Carolina, South Carolina,"Greenville County, South Carolina",. . No health insurance coverage,295,  No health insurance coverage,No health insurance coverage
Greenwood County,South Carolina, South Carolina,"Greenwood County, South Carolina",Total:,"67,354",Total,Total
Greenwood County,South Carolina, South Carolina,"Greenwood County, South Carolina",. Under 18 years:,"16,514", Under 18 years,Under 18 years
Greenwood County,South Carolina, South Carolina,"Greenwood County, South Carolina",. . With health insurance coverage,"15,546",  With health insurance coverage,With health insurance coverage
Greenwood County,South Carolina, South Carolina,"Greenwood County, South Carolina",. . No health insurance coverage,968,  No health insurance coverage,No health insurance coverage
Greenwood County,South Carolina, South Carolina,"Greenwood County, South Carolina",. 18 to 64 years:,"40,914", 18 to 64 years,18 to 64 years
Greenwood County,South Carolina, South Carolina,"Greenwood County, South Carolina",. . With health insurance coverage,"33,483",  With health insurance coverage,With health insurance coverage
Greenwood County,South Carolina, South Carolina,"Greenwood County, South Carolina",. . No health insurance coverage,"7,431",  No health insurance coverage,No health insurance coverage
Greenwood County,South Carolina, South Carolina,"Greenwood County, South Carolina",. 65 years or over:,"9,926", 65 years or over,65 years or over
Greenwood County,South Carolina, South Carolina,"Greenwood County, South Carolina",. . With health insurance coverage,"9,926",  With health insurance coverage,With health insurance coverage
Greenwood County,South Carolina, South Carolina,"Greenwood County, South Carolina",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Horry County,South Carolina, South Carolina,"Horry County, South Carolina",Total:,"256,100",Total,Total
Horry County,South Carolina, South Carolina,"Horry County, South Carolina",. Under 18 years:,"54,970", Under 18 years,Under 18 years
Horry County,South Carolina, South Carolina,"Horry County, South Carolina",. . With health insurance coverage,"45,558",  With health insurance coverage,With health insurance coverage
Horry County,South Carolina, South Carolina,"Horry County, South Carolina",. . No health insurance coverage,"9,412",  No health insurance coverage,No health insurance coverage
Horry County,South Carolina, South Carolina,"Horry County, South Carolina",. 18 to 64 years:,"157,702", 18 to 64 years,18 to 64 years
Horry County,South Carolina, South Carolina,"Horry County, South Carolina",. . With health insurance coverage,"114,022",  With health insurance coverage,With health insurance coverage
Horry County,South Carolina, South Carolina,"Horry County, South Carolina",. . No health insurance coverage,"43,680",  No health insurance coverage,No health insurance coverage
Horry County,South Carolina, South Carolina,"Horry County, South Carolina",. 65 years or over:,"43,428", 65 years or over,65 years or over
Horry County,South Carolina, South Carolina,"Horry County, South Carolina",. . With health insurance coverage,"43,339",  With health insurance coverage,With health insurance coverage
Horry County,South Carolina, South Carolina,"Horry County, South Carolina",. . No health insurance coverage,89,  No health insurance coverage,No health insurance coverage
Lancaster County,South Carolina, South Carolina,"Lancaster County, South Carolina",Total:,"75,773",Total,Total
Lancaster County,South Carolina, South Carolina,"Lancaster County, South Carolina",. Under 18 years:,"17,836", Under 18 years,Under 18 years
Lancaster County,South Carolina, South Carolina,"Lancaster County, South Carolina",. . With health insurance coverage,"17,272",  With health insurance coverage,With health insurance coverage
Lancaster County,South Carolina, South Carolina,"Lancaster County, South Carolina",. . No health insurance coverage,564,  No health insurance coverage,No health insurance coverage
